company_name,nifty_symbol,icici_shortname,match_type
Kaynes Technology India Ltd.,KAYNES,KAYTEC,company_word_overlap
Kec International Ltd.,KEC,KECIN,company_word_overlap
Kfin Technologies Ltd.,KFINTECH,KFITEC,company_normalized
Kirloskar Oil Eng Ltd.,KIRLOSENG,KIRENG,company_word_overlap
Krishna Institute of Medical Sciences Ltd.,KIMS,KRIINS,company_word_overlap
LT Foods Ltd.,LTFOODS,LTOVER,company_normalized
Latent View Analytics Ltd.,LATENTVIEW,LATVIE,company_normalized
Leela Palaces Hotels & Resorts Ltd.,THELEELA,SCHBAN,company_word_overlap
Lemon Tree Hotels Ltd.,LEMONTREE,LEMTRE,company_normalized
MMTC Ltd.,MMTC,MINERA,company_normalized
Mahanagar Gas Ltd.,MGL,MAHGAS,company_normalized
Manappuram Finance Ltd.,MANAPPURAM,MANAFI,company_normalized
Mangalore Refinery & Petrochemicals Ltd.,MRPL,MRPL,symbol_exact
Meesho Ltd.,MEESHO,MEESHO,company_normalized
Minda Corporation Ltd.,MINDACORP,MINCOR,company_normalized
Motherson Sumi Wiring India Ltd.,MSUMI,MOTSU,company_word_overlap
NATCO Pharma Ltd.,NATCOPHARM,NATPHA,company_normalized
NBCC (India) Ltd.,NBCC,NBCC,company_normalized
NCC Ltd.,NCC,NAGCON,company_normalized
NMDC Steel Ltd.,NSLNISP,NMDSTE,company_normalized
Narayana Hrudayalaya Ltd.,NH,NARHRU,company_normalized
Nava Ltd.,NAVA,NAVBHA,company_normalized
Navin Fluorine International Ltd.,NAVINFLUOR,NAVFLU,company_word_overlap
Netweb Technologies India Ltd.,NETWEB,NETTEC,company_normalized
Neuland Laboratories Ltd.,NEULANDLAB,NEULAB,company_normalized
Newgen Software Technologies Ltd.,NEWGEN,NEWSOF,company_word_overlap
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,NIVBUP,company_word_overlap
Nuvama Wealth Management Ltd.,NUVAMA,NUVWEA,company_word_overlap
Nuvoco Vistas Corporation Ltd.,NUVOCO,NUVVIS,company_normalized
Ola Electric Mobility Ltd.,OLAELEC,OLAELE,company_normalized
Olectra Greentech Ltd.,OLECTRA,GOLTEL,company_normalized
Onesource Specialty Pharma Ltd.,ONESOURCE,ONESPE,company_normalized
PCBL Chemical Ltd.,PCBL,PHICAR,company_normalized
PG Electroplast Ltd.,PGEL,PGELEC,company_normalized
PNB Housing Finance Ltd.,PNBHOUSING,PNBHOU,company_normalized
PTC Industries Ltd.,PTCIL,PTCIN,company_normalized
PVR INOX Ltd.,PVRINOX,PVRLIM,company_normalized
Paradeep Phosphates Ltd.,PARADEEP,PARPHO,company_normalized
Pfizer Ltd.,PFIZER,PFIZER,company_normalized
Physicswallah Ltd.,PWL,PHYLIM,company_normalized
Pine Labs Ltd.,PINELABS,PINLAB,company_normalized
Piramal Finance Ltd.,PIRAMALFIN,PIRFIN,company_normalized
Piramal Pharma Ltd.,PPLPHARMA,PIRPHA,company_normalized
Poly Medicure Ltd.,POLYMED,POLMED,company_normalized
Poonawalla Fincorp Ltd.,POONAWALLA,MAGFI,company_normalized
Prime Focus Ltd.,PFOCUS,PRIFOC,company_normalized
R R Kabel Ltd.,RRKABEL,RRKAB,company_normalized
RBL Bank Ltd.,RBLBANK,RBLBAN,company_normalized
RHI MAGNESITA INDIA LTD.,RHIM,ORIREF,company_normalized
RITES Ltd.,RITES,RITLIM,company_normalized
Railtel Corporation Of India Ltd.,RAILTEL,RAICOR,company_word_overlap
Rainbow Childrens Medicare Ltd.,RAINBOW,RAICHI,company_normalized
